OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate
1,Greensboro Elementary School,Caroline,10,2020/10/29 14:00:00+00
2,Archbishiop Neale School,Charles,4,2020/10/29 14:00:00+00
3,Brunswick Middle School,Frederick,3,2020/10/29 14:00:00+00
4,Annapolis Area Christian School - Upper School,Anne Arundel,2,2020/10/29 14:00:00+00
5,Beth Tfiloh Dahan Community School,Baltimore,5,2020/10/29 14:00:00+00
6,Worcester Preparatory School,Worcester,3,2020/10/29 14:00:00+00
7,Garrison Forrest Elementary,Baltimore,3,2020/10/29 14:00:00+00
8,Route 40 Elementary,Garrett,2,2020/10/29 14:00:00+00
9,Eastern Elementary School,Washington,2,2020/10/29 14:00:00+00
10,Clear Springs High School,Washington,2,2020/10/29 14:00:00+00
11,Greensboro Elementary School,Caroline,12,2020/11/05 15:00:00+00
12,Archbishop Neale Elementary School,Charles,12,2020/11/05 15:00:00+00
13,Worcester Preparatory School,Worcester,3,2020/11/05 15:00:00+00
14,Route 40 Elementary,Garrett,2,2020/11/05 15:00:00+00
15,Clear Spring High,Washington,2,2020/11/05 15:00:00+00
16,Gerstell Academy,Carroll,3,2020/11/05 15:00:00+00
17,Greenwood Elementary,Somerset,2,2020/11/05 15:00:00+00
18,Glenelg Country School,Howard,4,2020/11/05 15:00:00+00
19,Emmanuel Lutheran School,Baltimore,5,2020/11/05 15:00:00+00
20,Manor Woods Elementary,Howard,2,2020/11/05 15:00:00+00
21,Cedar Ridge School,Washington,2,2020/11/05 15:00:00+00
22,Carter G Woodson Elementary,Somerset,3,2020/11/05 15:00:00+00
23,St. Andrew's Episcopal School,Montgomery,2,2020/11/05 15:00:00+00
50,Route 40 Elementary,Garrett,2,2020/11/11 15:00:00+00
51,Gerstell Academy,Carroll,3,2020/11/11 15:00:00+00
52,Greenwood Elementary,Somerset,2,2020/11/11 15:00:00+00
53,Glenelg Country School,Howard,8,2020/11/11 15:00:00+00
54,Emmanuel Lutheran School,Baltimore,5,2020/11/11 15:00:00+00
55,Manor Woods Elementary,Howard,2,2020/11/11 15:00:00+00
56,Cedar Ridge School,Washington,4,2020/11/11 15:00:00+00
57,Woodson Elementary School,Somerset,3,2020/11/11 15:00:00+00
58,St. Andrew's Episcopal School,Montgomery,2,2020/11/11 15:00:00+00
59,St. Elizabeth School,Montgomery,2,2020/11/11 15:00:00+00
60,Grace Academy,Washington,14,2020/11/11 15:00:00+00
61,Robert Moton Elementary,Carroll,2,2020/11/11 15:00:00+00
62,Seaside Christian Academy,Worcester,2,2020/11/11 15:00:00+00
63,McDonough School,Baltimore,2,2020/11/11 15:00:00+00
64,St. Mark's School,Baltimore,7,2020/11/11 15:00:00+00
65,Pangborn Elementary,Washington,4,2020/11/11 15:00:00+00
66,St. Agnes Catholic School,Baltimore,2,2020/11/11 15:00:00+00
67,North Point High School,Charles,2,2020/11/11 15:00:00+00
68,Joppatowne Elementary School,Harford,6,2020/11/11 15:00:00+00
69,Monsignor Slade Catholic School,Anne Arundel,3,2020/11/11 15:00:00+00
70,Windy Hill Elementary School,Calvert,2,2020/11/11 15:00:00+00
71,Truth Christian Academy,Washington,2,2020/11/11 15:00:00+00
72,Hagerstown High School,Washington,3,2020/11/11 15:00:00+00
73,Living Hope Christian School,Somerset,2,2020/11/11 15:00:00+00
74,Stephen Decatur High School,Worcester,2,2020/11/11 15:00:00+00
75,Mount Saint Joseph,Baltimore City,2,2020/11/11 15:00:00+00
76,Gerstell Academy,Carroll,3,2020/11/18 15:00:00+00
77,Glenelg Country School,Howard,7,2020/11/18 15:00:00+00
78,Manor Woods Elementary,Howard,2,2020/11/18 15:00:00+00
79,Cedar Ridge School,Washington,4,2020/11/18 15:00:00+00
80,Woodson Elementary School,Somerset,5,2020/11/18 15:00:00+00
81,St. Andrew's Episcopal School,Montgomery,2,2020/11/18 15:00:00+00
82,St. Elizabeth School,Montgomery,2,2020/11/18 15:00:00+00
83,Grace Academy,Washington,16,2020/11/18 15:00:00+00
84,Robert Moton Elementary,Carroll,2,2020/11/18 15:00:00+00
85,Seaside Christian Academy,Worcester,2,2020/11/18 15:00:00+00
86,McDonough School,Baltimore,4,2020/11/18 15:00:00+00
87,St. Mark's School,Baltimore,8,2020/11/18 15:00:00+00
88,Pangborn Elementary,Washington,4,2020/11/18 15:00:00+00
89,Saint Agnes Catholic School,Baltimore,2,2020/11/18 15:00:00+00
90,North Point High School,Charles,2,2020/11/18 15:00:00+00
91,Joppatowne Elementary School,Harford,6,2020/11/18 15:00:00+00
92,Monsignor Slade Catholic School,Anne Arundel,4,2020/11/18 15:00:00+00
93,Windy Hill Elementary School,Calvert,2,2020/11/18 15:00:00+00
94,Truth Christian Academy,Washington,3,2020/11/18 15:00:00+00
95,South Hagerstown High School,Washington,3,2020/11/18 15:00:00+00
96,Stephen Decatur High School,Worcester,2,2020/11/18 15:00:00+00
97,Mount Saint Joseph,Baltimore City,2,2020/11/18 15:00:00+00
98,Bullis School,Montgomery,8,2020/11/18 15:00:00+00
99,James M. Bennett High,Wicomico,2,2020/11/18 15:00:00+00
100,Bais Yaakov School for Girls,Baltimore,2,2020/11/18 15:00:00+00
101,DeMatha Catholic High School,Prince George's,3,2020/11/18 15:00:00+00
102,St. Joseph's School,Baltimore,2,2020/11/18 15:00:00+00
103,Bais Yaakov Eva Winer High School,Baltimore,4,2020/11/18 15:00:00+00
104,Delmar Elementary School,Wicomico,4,2020/11/18 15:00:00+00
105,The Heights School,Montgomery,4,2020/11/18 15:00:00+00
106,Yough Glades Elementary,Garrett,3,2020/11/18 15:00:00+00
107,Broadfording Christian Academy,Washington,4,2020/11/18 15:00:00+00
108,Open Bible Christian Academy,Baltimore,3,2020/11/18 15:00:00+00
109,The Harbour School at Baltimore,Baltimore,2,2020/11/18 15:00:00+00
110,Gerstell Academy,Carroll,3,2020/11/18 15:00:00+00
111,Glenelg Country School,Howard,7,2020/11/18 15:00:00+00
112,Manor Woods Elementary,Howard,2,2020/11/18 15:00:00+00
113,Cedar Ridge School,Washington,4,2020/11/18 15:00:00+00
114,Woodson Elementary School,Somerset,5,2020/11/18 15:00:00+00
115,St. Andrew's Episcopal School,Montgomery,2,2020/11/18 15:00:00+00
116,St. Elizabeth School,Montgomery,2,2020/11/18 15:00:00+00
117,Grace Academy,Washington,16,2020/11/18 15:00:00+00
118,Robert Moton Elementary,Carroll,2,2020/11/18 15:00:00+00
119,Seaside Christian Academy,Worcester,2,2020/11/18 15:00:00+00
120,McDonough School,Baltimore,4,2020/11/18 15:00:00+00
121,St. Mark's School,Baltimore,8,2020/11/18 15:00:00+00
122,Pangborn Elementary,Washington,4,2020/11/18 15:00:00+00
123,Saint Agnes Catholic School,Baltimore,2,2020/11/18 15:00:00+00
124,North Point High School,Charles,2,2020/11/18 15:00:00+00
125,Joppatowne Elementary School,Harford,6,2020/11/18 15:00:00+00
126,Monsignor Slade Catholic School,Anne Arundel,4,2020/11/18 15:00:00+00
127,Windy Hill Elementary School,Calvert,2,2020/11/18 15:00:00+00
128,Truth Christian Academy,Washington,3,2020/11/18 15:00:00+00
129,South Hagerstown High School,Washington,3,2020/11/18 15:00:00+00
130,Stephen Decatur High School,Worcester,2,2020/11/18 15:00:00+00
131,Mount Saint Joseph,Baltimore City,2,2020/11/18 15:00:00+00
132,Bullis School,Montgomery,8,2020/11/18 15:00:00+00
133,James M. Bennett High,Wicomico,2,2020/11/18 15:00:00+00
134,Bais Yaakov School for Girls,Baltimore,2,2020/11/18 15:00:00+00
135,DeMatha Catholic High School,Prince George's,3,2020/11/18 15:00:00+00
136,St. Joseph's School,Baltimore,2,2020/11/18 15:00:00+00
137,Bais Yaakov Eva Winer High School,Baltimore,4,2020/11/18 15:00:00+00
138,Delmar Elementary School,Wicomico,4,2020/11/18 15:00:00+00
139,The Heights School,Montgomery,4,2020/11/18 15:00:00+00
140,Yough Glades Elementary,Garrett,3,2020/11/18 15:00:00+00
141,Broadfording Christian Academy,Washington,4,2020/11/18 15:00:00+00
142,Open Bible Christian Academy,Baltimore,3,2020/11/18 15:00:00+00
143,The Harbour School at Baltimore,Baltimore,2,2020/11/18 15:00:00+00
144,Bais Yaakov Eva Winer High School,Baltimore,3,2020/11/25 15:00:00+00
145,Broadfording Christian Academy,Washington,5,2020/11/25 15:00:00+00
146,Bullis School,Montgomery,10,2020/11/25 15:00:00+00
147,Delmar Elementary School,Wicomico,4,2020/11/25 15:00:00+00
148,Frederick Christian Academy,Frederick,6,2020/11/25 15:00:00+00
149,Glenelg Country School,Howard,10,2020/11/25 15:00:00+00
150,Grace Academy,Washington,17,2020/11/25 15:00:00+00
151,Immaculate Heart of Mary School,Baltimore,2,2020/11/25 15:00:00+00
152,James M. Bennett High,Wicomico,2,2020/11/25 15:00:00+00
153,John Archer School,Harford,3,2020/11/25 15:00:00+00
154,McDonough School,Baltimore,5,2020/11/25 15:00:00+00
155,Mesivta Kesser Torah of Baltimore,Baltimore,2,2020/11/25 15:00:00+00
156,Mount Saint Joseph,Baltimore City,6,2020/11/25 15:00:00+00
157,Open Bible Christian Academy,Baltimore,5,2020/11/25 15:00:00+00
158,Roland Park Country School,Baltimore City,4,2020/11/25 15:00:00+00
159,Rosedale Baptist School,Baltimore,2,2020/11/25 15:00:00+00
160,Running Brook Elementary,Howard,2,2020/11/25 15:00:00+00
161,Severn School,Anne Arundel,2,2020/11/25 15:00:00+00
162,St. Jerome's School,Prince George's,2,2020/11/25 15:00:00+00
163,St. Joseph's School,Baltimore,4,2020/11/25 15:00:00+00
164,St. Mark's School,Baltimore,7,2020/11/25 15:00:00+00
165,Stephen Decatur High School,Worcester,2,2020/11/25 15:00:00+00
166,The Harbour School at Baltimore,Baltimore,2,2020/11/25 15:00:00+00
167,The Heights School,Montgomery,4,2020/11/25 15:00:00+00
168,Torah School of Greater Washington,Montgomery,3,2020/11/25 15:00:00+00
169,Truth Christian Academy,Washington,3,2020/11/25 15:00:00+00
170,Woodson Elementary School,Somerset,6,2020/11/25 15:00:00+00
171,Yough Glades Elementary,Garrett,3,2020/11/25 15:00:00+00
172,Bais Yaakov Eva Winer High School,Baltimore,4,2020/12/02 15:00:00+00
173,Broadfording Christian Academy,Washington,5,2020/12/02 15:00:00+00
174,Bullis School,Montgomery,10,2020/12/02 15:00:00+00
175,Frederick Christian Academy,Frederick,6,2020/12/02 15:00:00+00
176,Glenelg Country School,Howard,11,2020/12/02 15:00:00+00
177,Grace Academy,Washington,19,2020/12/02 15:00:00+00
178,Heritage Academy,Washington,2,2020/12/02 15:00:00+00
179,John Archer School,Harford,3,2020/12/02 15:00:00+00
180,McDonough School,Baltimore,5,2020/12/02 15:00:00+00
181,Mesivta Kesser Torah of Baltimore,Baltimore,2,2020/12/02 15:00:00+00
182,Mount Saint Joseph,Baltimore City,6,2020/12/02 15:00:00+00
183,Open Bible Christian Academy,Baltimore,5,2020/12/02 15:00:00+00
184,Rosedale Baptist School,Baltimore,2,2020/12/02 15:00:00+00
185,Running Brook Elementary,Howard,2,2020/12/02 15:00:00+00
186,St. Joseph's School,Baltimore,4,2020/12/02 15:00:00+00
187,St. Mark's School,Baltimore,7,2020/12/02 15:00:00+00
188,Stephen Decatur High School,Worcester,2,2020/12/02 15:00:00+00
